X,-1.3041237113402064 -0.16223195876288654,-0.6782246879334259 -0.6886130374479889,1.6388140161725069 -4.307827493261456,2.6141304347826093 -6.554956521739132,0.6180555555555545 -0.8541666666666643
0.499,-0.8129896907216495,-1.0270471567267685,-3.4900592991913753,-5.2505054347826094,-0.5457569444444426
0.5,-0.8142938144329898,-1.0277253814147018,-3.4884204851752028,-5.247891304347827,-0.5451388888888871
0.501,-0.81559793814433,-1.0284036061026351,-3.4867816711590303,-5.245277173913045,-0.5445208333333316
0.502,-0.8169020618556702,-1.0290818307905687,-3.4851428571428578,-5.242663043478261,-0.543902777777776
0.503,-0.8182061855670104,-1.029760055478502,-3.4835040431266853,-5.240048913043479,-0.5432847222222204
0.504,-0.8195103092783506,-1.0304382801664356,-3.4818652291105128,-5.237434782608696,-0.5426666666666649
0.505,-0.8208144329896908,-1.031116504854369,-3.4802264150943403,-5.234820652173914,-0.5420486111111094
0.506,-0.822118556701031,-1.0317947295423024,-3.478587601078168,-5.232206521739132,-0.5414305555555537
0.507,-0.8234226804123712,-1.0324729542302358,-3.4769487870619953,-5.229592391304349,-0.5408124999999981
0.508,-0.8247268041237115,-1.0331511789181693,-3.475309973045823,-5.226978260869566,-0.5401944444444426
0.509,-0.8260309278350516,-1.0338294036061026,-3.4736711590296503,-5.224364130434783,-0.5395763888888871
0.51,-0.8273350515463919,-1.034507628294036,-3.472032345013478,-5.221750000000001,-0.5389583333333315
0.511,-0.828639175257732,-1.0351858529819695,-3.4703935309973053,-5.219135869565219,-0.5383402777777759
0.512,-0.8299432989690723,-1.035864077669903,-3.468754716981133,-5.216521739130435,-0.5377222222222204
